last,UTC
3436.5,2022-05-19 20:57:00
3430.0,2022-05-19 20:58:00
3431.5,2022-05-19 20:59:00
3434.5,2022-05-19 21:00:00
3432.5,2022-05-19 21:01:00
3430.0,2022-05-19 21:02:00
3422.5,2022-05-19 21:03:00
3424.5,2022-05-19 21:04:00
3425.5,2022-05-19 21:05:00
3421.0,2022-05-19 21:06:00
3420.0,2022-05-19 21:07:00
3418.0,2022-05-19 21:08:00
3422.5,2022-05-19 21:09:00
3420.0,2022-05-19 21:10:00
3419.5,2022-05-19 21:11:00
3420.0,2022-05-19 21:12:00
3416.5,2022-05-19 21:13:00
3409.0,2022-05-19 21:14:00
3414.0,2022-05-19 21:30:00
3418.5,2022-05-19 21:31:00
3418.5,2022-05-19 21:32:00
3419.0,2022-05-19 21:33:00
3419.0,2022-05-19 21:34:00
3417.0,2022-05-19 21:35:00
3409.5,2022-05-19 21:36:00
3408.0,2022-05-19 21:37:00
3410.0,2022-05-19 21:38:00
3414.5,2022-05-19 21:39:00
3414.5,2022-05-19 21:40:00
3417.5,2022-05-19 21:41:00
3422.5,2022-05-19 21:42:00
3422.0,2022-05-19 21:43:00
3420.5,2022-05-19 21:44:00
3422.5,2022-05-19 21:45:00
3423.5,2022-05-19 21:46:00
3426.0,2022-05-19 21:47:00
3425.5,2022-05-19 21:48:00
3427.0,2022-05-19 21:49:00
3430.5,2022-05-19 21:50:00
3431.5,2022-05-19 21:51:00
3426.5,2022-05-19 21:52:00
3426.0,2022-05-19 21:53:00
3425.0,2022-05-19 21:54:00
3430.0,2022-05-19 21:55:00
3427.0,2022-05-19 21:56:00
3434.5,2022-05-19 21:57:00
3432.5,2022-05-19 21:58:00
3432.0,2022-05-19 21:59:00
3435.0,2022-05-19 22:00:00
3425.0,2022-05-19 22:01:00
3432.0,2022-05-19 22:02:00
3430.5,2022-05-19 22:03:00
3424.5,2022-05-19 22:04:00
3419.5,2022-05-19 22:05:00
3421.0,2022-05-19 22:06:00
3412.5,2022-05-19 22:07:00
3404.0,2022-05-19 22:08:00
3410.5,2022-05-19 22:09:00
3411.5,2022-05-19 22:10:00
3417.0,2022-05-19 22:11:00
3412.0,2022-05-19 22:12:00
3422.0,2022-05-19 22:13:00
3423.0,2022-05-19 22:14:00
3425.0,2022-05-19 22:15:00
3418.0,2022-05-19 22:16:00
3422.5,2022-05-19 22:17:00
3424.0,2022-05-19 22:18:00
3422.5,2022-05-19 22:19:00
3426.0,2022-05-19 22:20:00
3422.0,2022-05-19 22:21:00
3411.5,2022-05-19 22:22:00
3411.5,2022-05-19 22:23:00
3408.0,2022-05-19 22:24:00
3410.0,2022-05-19 22:25:00
3421.0,2022-05-19 22:26:00
3421.5,2022-05-19 22:27:00
3418.5,2022-05-19 22:28:00
3418.0,2022-05-19 22:29:00
3423.0,2022-05-20 00:30:00
3421.5,2022-05-20 00:31:00
3434.5,2022-05-20 00:32:00
3437.0,2022-05-20 00:33:00
3434.0,2022-05-20 00:34:00
3434.5,2022-05-20 00:35:00
3437.5,2022-05-20 00:36:00
3434.0,2022-05-20 00:37:00
3433.0,2022-05-20 00:38:00
3432.5,2022-05-20 00:39:00
3429.0,2022-05-20 00:40:00
3431.5,2022-05-20 00:41:00
3428.5,2022-05-20 00:42:00
3429.0,2022-05-20 00:43:00
3430.0,2022-05-20 00:44:00
3429.5,2022-05-20 00:45:00
3426.0,2022-05-20 00:46:00
3432.0,2022-05-20 00:47:00
3433.0,2022-05-20 00:48:00
3436.0,2022-05-20 00:49:00
3437.5,2022-05-20 00:50:00
3433.5,2022-05-20 00:51:00
3433.0,2022-05-20 00:52:00
3431.0,2022-05-20 00:53:00
3436.0,2022-05-20 00:54:00
3427.5,2022-05-20 00:55:00
3419.0,2022-05-20 00:56:00
3420.5,2022-05-20 00:57:00
3417.5,2022-05-20 00:58:00
3417.5,2022-05-20 00:59:00
3421.5,2022-05-20 01:00:00
3419.0,2022-05-20 01:01:00
3419.0,2022-05-20 01:02:00
3420.0,2022-05-20 01:03:00
3419.0,2022-05-20 01:04:00
3423.0,2022-05-20 01:05:00
3421.5,2022-05-20 01:06:00
3420.0,2022-05-20 01:07:00
3422.0,2022-05-20 01:08:00
3419.5,2022-05-20 01:09:00
3427.5,2022-05-20 01:10:00
3421.0,2022-05-20 01:11:00
3418.0,2022-05-20 01:12:00
3423.0,2022-05-20 01:13:00
3421.0,2022-05-20 01:14:00
3418.5,2022-05-20 01:15:00
3422.0,2022-05-20 01:16:00
3424.0,2022-05-20 01:17:00
3421.5,2022-05-20 01:18:00
3425.0,2022-05-20 01:19:00
3428.5,2022-05-20 01:20:00
3428.0,2022-05-20 01:21:00
3432.0,2022-05-20 01:22:00
3429.5,2022-05-20 01:23:00
3426.5,2022-05-20 01:24:00
3420.0,2022-05-20 01:25:00
3414.0,2022-05-20 01:26:00
3418.5,2022-05-20 01:27:00
3419.0,2022-05-20 01:28:00
3418.0,2022-05-20 01:29:00
3416.0,2022-05-20 01:30:00
3411.5,2022-05-20 01:31:00
3410.5,2022-05-20 01:32:00
3416.0,2022-05-20 01:33:00
3418.5,2022-05-20 01:34:00
3418.0,2022-05-20 01:35:00
3422.5,2022-05-20 01:36:00
3420.0,2022-05-20 01:37:00
3421.5,2022-05-20 01:38:00
3422.0,2022-05-20 01:39:00
3424.0,2022-05-20 01:40:00
3422.0,2022-05-20 01:41:00
3425.0,2022-05-20 01:42:00
3425.0,2022-05-20 01:43:00
3424.0,2022-05-20 01:44:00
3422.5,2022-05-20 01:45:00
3424.0,2022-05-20 01:46:00
3425.0,2022-05-20 01:47:00
3425.0,2022-05-20 01:48:00
3436.5,2022-05-20 01:49:00
3429.5,2022-05-20 01:50:00
3436.0,2022-05-20 01:51:00
3440.0,2022-05-20 01:52:00
3448.5,2022-05-20 01:53:00
3450.0,2022-05-20 01:54:00
3449.0,2022-05-20 01:55:00
3452.0,2022-05-20 01:56:00
3453.0,2022-05-20 01:57:00
3454.0,2022-05-20 01:58:00
3476.0,2022-05-20 01:59:00
3476.0,2022-05-20 02:00:00
